Feature,Coefficient,Odds_Ratio,Abs_Coefficient
Geometric transformations,1.1609301707330675,3.192901839111237,1.1609301707330675
Exponential rule,-1.1216353529970031,0.32574664804328934,1.1216353529970031
Student Country_Slovenia,1.0312577013684596,2.804590955342381,1.0312577013684596
Eigenvector,-0.9889758779035664,0.3719574258480381,0.9889758779035664
Substitution,0.9705721696020554,2.639454242870633,0.9705721696020554
Point estimate,-0.9032298014070923,0.40525863878981583,0.9032298014070923
Confidence interval,-0.9032298014070923,0.40525863878981583,0.9032298014070923
Diagonalization,0.8190409524265929,2.268323364010446,0.8190409524265929
Subtopic_Integration Techniques,-0.7823004903274104,0.45735266478148195,0.7823004903274104
Directional derivative,-0.7627919837357405,0.466362531027142,0.7627919837357405
Cross product,0.740468469969912,2.09691762736901,0.740468469969912
Sample,-0.727620899020862,0.4830568651542999,0.727620899020862
Linear programming,-0.7059352595157333,0.4936466705438537,0.7059352595157333
Linear regression,0.6450448196206235,1.9060724568018885,0.6450448196206235
Sample space,-0.6404681603395002,0.5270456244181985,0.6404681603395002
Second derivative test,-0.6280229907009104,0.5336457814714004,0.6280229907009104
Simple integration,0.619069324413875,1.8571987877135514,0.619069324413875
Student Country_Romania,0.6099277645312006,1.8402984591582892,0.6099277645312006
Operations with complex numbers,-0.5926099852076044,0.5528823851247064,0.5926099852076044
Classification of geometric solids,0.5812621364309838,1.7882940780885659,0.5812621364309838
Matrix equivalent - echelon,-0.5594456891198812,0.5715257790189516,0.5594456891198812
Trigonometric substitution,-0.5574366451246245,0.5726751536389156,0.5574366451246245
Scalar product,-0.5494529128142384,0.5772655385861263,0.5494529128142384
Principal argument,0.5415316191682439,1.7186371449693951,0.5415316191682439
Data type,0.5402917919002088,1.716507652147621,0.5402917919002088
Event,-0.5363093207313134,0.5849029629950032,0.5363093207313134
Student Country_Russian Federation,-0.5273875775141474,0.5901446648278729,0.5273875775141474
Bernoulli equation,-0.5118789481886438,0.5993683380772752,0.5118789481886438
Square roots,0.49617218323596857,1.6424223310653903,0.49617218323596857
Homogeneous equation,0.48538048180766724,1.6247930954654632,0.48538048180766724
